X,Y,Index_,event_unique_id,year_,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3644638,43.6556168,793,GO-2016556458,2016,D51,Shooting,2016-04-02T04:00:00.000Z,72,Regent Park (72),43.6556168,-79.3644638,585
-79.4948578,43.7489891,794,GO-2016602150,2016,D31,Other,2016-04-09T04:00:00.000Z,27,York University Heights (27),43.7489891,-79.4948578,586
-79.3867874,43.6702271,795,GO-2016630918,2016,D53,Shooting,2016-04-13T04:00:00.000Z,98,Rosedale-Moore Park (98),43.6702271,-79.3867874,587
-79.4965363,43.6117668,796,GO-2016632371,2016,D22,Shooting,2016-04-14T04:00:00.000Z,17,Mimico (includes Humber Bay Shores) (17),43.6117668,-79.4965363,588
-79.324768099999986,43.6831207,797,GO-2016652097,2016,D54,Shooting,2016-04-17T04:00:00.000Z,66,Danforth (66),43.6831207,-79.3247681,589
-79.3129272,43.7584152,798,GO-2016734521,2016,D41,Shooting,2016-04-29T04:00:00.000Z,119,Wexford/Maryvale (119),43.7584152,-79.3129272,590
-79.3129272,43.7584152,799,GO-2016734521,2016,D41,Shooting,2016-04-29T04:00:00.000Z,119,Wexford/Maryvale (119),43.7584152,-79.3129272,591
-79.5894241,43.7320251,800,GO-2016838159,2016,D23,Shooting,2016-05-15T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7320251,-79.5894241,592
-79.3816376,43.6673737,801,GO-2016851941,2016,D51,Other,2016-05-18T04:00:00.000Z,75,Church-Yonge Corridor (75),43.6673737,-79.3816376,593
-79.529403700000017,43.705143,802,GO-2016656231,2016,D12,Other,2016-04-17T04:00:00.000Z,113,Weston (113),43.705143,-79.5294037,594
-79.540336600000018,43.7427292,803,GO-2016965196,2016,D31,Shooting,2016-06-03T04:00:00.000Z,22,Humbermede (22),43.7427292,-79.5403366,595
-79.3967972,43.7045708,804,GO-2016989870,2016,D53,Shooting,2016-06-07T04:00:00.000Z,104,Mount Pleasant West (104),43.7045708,-79.3967972,596
-79.4040756,43.6572113,805,GO-20161148938,2016,D14,Shooting,2016-07-01T04:00:00.000Z,79,University (79),43.6572113,-79.4040756,597
-79.4040756,43.6572113,806,GO-20161148938,2016,D14,Shooting,2016-07-01T04:00:00.000Z,79,University (79),43.6572113,-79.4040756,598
-79.43794250000002,43.6491318,807,GO-20161116247,2016,D11,Other,2016-07-03T04:00:00.000Z,84,Little Portugal (84),43.6491318,-79.4379425,599
-79.520134,43.7378082,808,GO-20161229465,2016,D31,Shooting,2016-07-13T04:00:00.000Z,25,Glenfield-Jane Heights (25),43.7378082,-79.520134,600
